Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,INTC,AMD,NVDA,GE,GS,BAC,JPM,MS
2015-02-19,28.8967,37.9772,18.9498,67.8,79.42,27.0692,26.8793,3.055,5.3243,131.0459,160.2626,13.6011,46.3007,29.1489
2015-02-20,29.1318,38.2871,19.183,68.3143,79.895,26.8737,27.0365,3.06,5.3627,132.0938,162.2965,13.7437,46.7463,29.4778
2015-02-23,29.9203,38.5447,19.007,67.4057,78.84,26.5227,26.5258,3.06,5.3207,131.8842,161.2795,13.5927,46.3945,29.1007
2015-02-24,29.7336,38.4923,18.9295,67.84,78.45,26.7311,27.0365,3.11,5.3774,133.037,162.8982,13.7437,47.5436,29.4778
2015-02-25,28.9732,38.405,19.2685,68.3329,79.56,27.119,26.6711,3.1,5.3364,135.7616,162.4744,13.836,47.7938,29.3575
2015-02-26,29.3387,38.4617,19.24,69.0043,80.41,27.6979,26.4393,3.08,5.3508,135.6568,163.3926,13.4585,48.1377,28.9323
2015-02-27,28.8989,38.2828,19.008,67.8443,78.97,27.8435,26.125,3.11,5.3171,136.1808,161.3438,13.2655,47.9032,28.7156
2015-03-02,29.0407,38.3089,19.2828,68.6071,79.75,28.4888,26.7615,3.21,5.4461,136.8096,163.044,13.4333,48.2862,29.0767
2015-03-03,29.1014,37.7851,19.2305,67.8157,79.6,28.6034,26.789,3.14,5.346,135.4996,162.602,13.4585,48.4426,28.7397
2015-03-04,28.9169,37.5887,19.136,67.11,80.895,28.59,26.8086,3.05,5.4063,134.4517,161.2418,13.3322,48.5677,28.154
2015-03-05,28.4378,37.6367,19.3915,66.8071,81.21,28.6877,26.5022,2.98,5.5099,135.29,161.5903,13.4669,48.466,28.499
2015-03-06,28.4805,36.9819,19.0045,64.8743,80.005,28.3065,26.0779,2.92,5.4352,133.1942,158.8955,13.652,47.5983,28.507
2015-03-09,28.602,37.4097,18.928,63.6614,79.44,28.3646,25.7086,2.93,5.4497,134.3469,159.7626,13.61,48.0752,28.6193
2015-03-10,28.0103,36.6938,18.4755,62.1514,77.55,27.6745,24.9072,2.92,5.5425,131.8842,155.325,13.2901,46.8714,27.9855
2015-03-11,27.4997,36.6502,18.3185,62.8843,77.57,27.4835,25.4022,2.84,5.5147,131.989,156.5746,13.5595,47.0902,28.0417
2015-03-12,27.9968,35.8121,18.712,64.0457,78.93,27.6994,24.2,2.76,5.4641,133.0894,161.4798,13.5426,47.9736,29.7587
2015-03-13,27.8034,36.1263,18.529,62.6286,78.05,27.2911,24.3022,2.75,5.4714,131.2031,160.9612,13.5426,47.6843,29.1649
2015-03-16,28.1093,36.2835,18.6675,60.2814,78.07,27.6496,24.2236,2.76,5.5364,133.3513,163.1375,13.5763,48.3488,29.4698
2015-03-17,28.5795,36.4014,18.596,59.7886,79.365,27.4666,24.035,2.77,5.6039,132.6178,162.0069,13.5426,48.1612,29.3254
2015-03-18,28.9012,37.1041,18.7568,60.4457,80.91,27.8984,24.2707,2.75,5.5123,134.3469,163.4946,13.45,48.2706,29.4698
2015-03-19,28.6818,36.9164,18.662,60.7443,82.75,27.8231,24.1529,2.74,5.5955,132.7226,161.4968,13.1386,47.8407,28.9724
